,Domain,Company,Location,Start_Date,Duration,Stipend,Apply_by
103,Distribution - Marketing,Disney Star,Kolkata,Immediately,6 Months,"10,000-15,000 /month",17 Aug' 22
104,Human Resources (HR),HDFC Ergo General Insurance Company Limited,Mumbai,Immediately,3 Months,"10,000 /month",17 Aug' 22
105,Human Resources (HR),Kansai Nerolac Paints Limited,Mumbai,Immediately,6 Months,"8,000 /month",18 Aug' 22
106,Research Assistance (CATIA & Vehicle Dynamics),Indian Institute Of Science,Bangalore,Immediately,6 Months,"25,000 /month",17 Aug' 22
107,Business Development (Sales),Urban Company,Vishakhapatnam,Immediately,2 Months,"15,000 /month",18 Aug' 22
108,Operations,Justdial Limited,Mumbai,Immediately,2 Months,"2,000 /month +  Incentives",17 Aug' 22
109,Content Writing,IIT Bombay,Work From Home,Immediately,6 Months,"1,000-2,000 /month",17 Aug' 22
110,Graphic Design,Disney Star,Mumbai,Immediately,6 Months,"10,000-15,000 /month",18 Aug' 22
111,Human Resources (HR),PR Pundit,Gurgaon,Immediately,2 Months,"5,000 /month",18 Aug' 22
112,Copywriting,IIT Bombay,Work From Home,Immediately,6 Months,"1,000-2,000 /month",17 Aug' 22
113,Human Resources (HR),Justdial Limited,Hyderabad,Immediately,3 Months,"5,000 /month",17 Aug' 22
114,Business Development (Sales),Urban Company,Bangalore,Immediately,2 Months,"16,000 /month",17 Aug' 22
115,Content & E-Commerce Management,Bombay Shaving Company,Work From Home,Immediately,3 Months,"7,000 /month",17 Aug' 22
116,Retail Management,Decathlon Sport India Private Limited,Hyderabad,Immediately,2 Months,"10,000 /month",18 Aug' 22
117,Photography/Videography,Lenskart,Gurgaon,Immediately,3 Months,"15,000 /month",19 Aug' 22
118,Business Development (Sales),Decathlon Sport India,Pune,Immediately,3 Months,"10,000 /month",17 Aug' 22
119,Business Development (Sales),Urban Company,Hyderabad,Immediately,1 Month,"18,000 /month",17 Aug' 22
120,Information Technology,Azim Premji Foundation,Bangalore,Immediately,6 Months,"12,000 /month",16 Aug' 22
121,Graphic Design,Archies Lifestyle,Delhi,Immediately,3 Months,"15,000 /month",16 Aug' 22
122,Marketing,Decathlon,Thane,Immediately,3 Months,"12,000 /month",16 Aug' 22
123,Business Development (Sales),Bajaj Allianz Life Insurance Company,Bangalore,Immediately,2 Months,"10,000 /month +  Incentives",16 Aug' 22
124,Human Resources (HR),Pantaloons Fashion & Retail Limited,Bangalore,Immediately,6 Months,"15,000 /month",17 Aug' 22
125,Business Development (Fundraising),WWF-India,Delhi,Immediately,3 Months,"20,000 /month",31 Aug' 22
126,Operations,SBI Funds Management Limited,Kota,Immediately,3 Months,"2,000 /month",23 Aug' 22
127,Digital Marketing,SBI Funds Management Limited,Kota,Immediately,2 Months,"2,000 /month",23 Aug' 22
128,Marketing,Radio City 91.1 FM,Delhi,Immediately,3 Months,"3,000 /month",17 Aug' 22
